NumConjunto;NumOperacoes
1;0
2;5
3;25
4;55
5;106
6;185
7;287
8;408
9;560
10;751
11;977
12;1256
13;1570
14;1927
15;2323
16;2755
17;3236
18;3775
19;4369
20;5037
21;5762
22;6553
23;7407
24;8363
25;9376
26;10455
27;11597
28;12821
29;14110
30;15473
31;16907
32;18410
33;19996
34;21675
35;23445
36;25326
37;27302
38;29383
39;31567
40;33894
41;36320
42;38855
43;41497
44;44266
45;47146
46;50147
47;53267
48;56586
49;60004
50;63531
51;67165
52;70926
53;74798
54;78791
55;82903
56;87174
57;91560
58;96071
59;100705
60;105482
61;110386
62;115427
63;120603
64;125913
65;131372
66;136991
67;142769
68;148727
69;154850
70;161149
71;167623
72;174313
73;181176
74;188223
75;195453
76;202887
77;210510
78;218333
79;226355
80;234657
81;243140
82;251815
83;260681
84;269759
85;279034
86;288517
87;298207
88;308145
89;318288
90;328647
91;339221
92;350031
93;361062
94;372325
95;383819
96;395705
97;407772
98;420031
99;432481
100;445143
101;458002
102;471069
103;484343
104;497865
105;511592
106;525535
107;539693
108;554087
109;568702
110;583549
111;598627
112;614017
113;629620
114;645447
115;661497
116;677791
117;694314
118;711077
119;728079
120;745361
121;762880
122;780647
123;798661
124;816943
125;835478
126;854277
127;873339
128;892664
129;912268
130;932163
131;952349
132;972848
133;993646
134;1014755
135;1036175
136;1057948
137;1080032
138;1102439
139;1125169
140;1148244
141;1171650
142;1195399
143;1219491
144;1244008
145;1268852
146;1294035
147;1319557
148;1345440
149;1371670
150;1398259
151;1425207
152;1452556
153;1480264
154;1508343
155;1536793
156;1565636
157;1594858
158;1624471
159;1654475
160;1685032
161;1715932
162;1747187
163;1778797
164;1810784
165;1843134
166;1875859
167;1908959
168;1942476
169;1976368
170;2010647
171;2045313
172;2080388
173;2115858
174;2151735
175;2188019
176;2224792
177;2261956
178;2299523
179;2337493
180;2375888
181;2414694
182;2453923
183;2493575
184;2533692
185;2574232
186;2615207
187;2656617
188;2698484
189;2740794
190;2783559
191;2826779
192;2870776
193;2915116
194;2959811
195;3004861
196;3050288
197;3096078
198;3142243
199;3188783
200;3235740
201;3283072
202;3330791
203;3378897
204;3427412
205;3476322
206;3525639
207;3575363
208;3625576
209;3676180
210;3727187
211;3778597
212;3830432
213;3882678
214;3935347
215;3988439
216;4041996
217;4095976
218;4150391
219;4205241
220;4260548
221;4316298
222;4372503
223;4429163
224;4486440
225;4544124
226;4602227
227;4660749
228;4719712
229;4779102
230;4838931
231;4899199
232;4959948
233;5021136
234;5082775
235;5144865
236;5207428
237;5270450
238;5333943
239;5397907
240;5462424
241;5527396
242;5592835
243;5658741
244;5725136
245;5792006
246;5859363
247;5927207
248;5995580
249;6064440
250;6133799
251;6203657
252;6274036
253;6344922
254;6416327
255;6488251
256;6560695
257;6633676
258;6707207
259;6781289
260;6855945
261;6931162
262;7006953
263;7083319
264;7160303
265;7237864
266;7316015
267;7394757
268;7474113
269;7554070
270;7634641
271;7715827
272;7797711
273;7880196
274;7963295
275;8047009
276;8131361
277;8216338
278;8301953
279;8388207
280;8475143
281;8562720
282;8650951
283;8739837
284;8829401
285;8919630
286;9010537
287;9102123
288;9194551
289;9287612
290;9381319
291;9475673
292;9570697
293;9666378
294;9762729
295;9859751
296;9957487
297;10055896
298;10154991
299;10254773
300;10355265
301;10456454
302;10558353
303;10660963
304;10764367
305;10868468
306;10973279
307;11078801
308;11185057
309;11292034
310;11399745
311;11508191
312;11617415
313;11727376
314;11838087
315;11949549
316;12061785
317;12174782
318;12288553
319;12403099
320;12518743
321;12635052
322;12752039
323;12869705
324;12988073
325;13107130
326;13226889
327;13347351
328;13468559
329;13590472
330;13713103
331;13836453
332;13960545
333;14085366
334;14210929
335;14337235
336;14464367
337;14592228
338;14720831
339;14850177
340;14980289
341;15111154
342;15242785
343;15375183
344;15508391
345;15642368
346;15777127
347;15912669
348;16049017
349;16186158
350;16324105
351;16462859
352;16602583
353;16743068
354;16884327
355;17026361
356;17169193
357;17312810
358;17457225
359;17602439
360;17748495
361;17895352
362;18043023
363;18191509
364;18340833
365;18490982
366;18641969
367;18793795
368;18946543
369;19100116
370;19254527
371;19409777
372;19565889
373;19722850
374;19880673
375;20039359
376;20198951
377;20359408
378;20520743
379;20682957
380;20846073
381;21010078
382;21174985
383;21340795
384;21508151
385;21676172
386;21844871
387;22014249
388;22184329
389;22355098
390;22526569
391;22698743
392;22871663
393;23045288
394;23219631
