NumConjunto;NumOperacoes
1;4
2;14
3;32
4;58
5;94
6;140
7;196
8;262
9;343
10;436
11;541
12;658
13;787
14;935
15;1096
16;1270
17;1457
18;1657
19;1878
20;2112
21;2359
22;2619
23;2892
24;3186
25;3494
26;3816
27;4152
28;4502
29;4875
30;5262
31;5663
32;6078
33;6507
34;6959
35;7425
36;7905
37;8399
38;8907
39;9438
40;9983
41;10542
42;11115
43;11702
44;12312
45;12937
46;13577
47;14232
48;14902
49;15600
50;16314
51;17044
52;17790
53;18552
54;19339
55;20142
56;20961
57;21796
58;22647
59;23523
60;24415
61;25323
62;26247
63;27187
64;28152
65;29133
66;30130
67;31143
68;32172
69;33226
70;34297
71;35385
72;36490
73;37612
74;38766
75;39937
76;41125
77;42330
78;43552
79;44800
80;46065
81;47347
82;48646
83;49962
84;51304
85;52663
86;54039
87;55432
88;56842
89;58278
90;59731
91;61201
92;62688
93;64192
94;65722
95;67270
96;68836
97;70420
98;72022
99;73658
100;75311
101;76981
102;78668
103;80372
104;82102
105;83849
106;85613
107;87394
108;89192
109;91016
110;92857
111;94715
112;96590
113;98482
114;100400
115;102335
116;104287
117;106256
118;108242
119;110254
120;112284
121;114332
122;116398
123;118482
124;120600
125;122736
126;124890
127;127062
128;129252
129;131469
130;133704
131;135957
132;138228
133;140517
134;142833
135;145167
136;147519
137;149889
138;152277
139;154692
140;157125
141;159576
142;162045
143;164532
144;167046
145;169579
146;172131
147;174702
148;177292
149;179918
150;182562
151;185224
152;187904
153;190602
154;193327
155;196070
156;198831
157;201610
158;204407
159;207231
160;210073
161;212933
162;215811
163;218707
164;221630
165;224571
166;227530
167;230507
168;233502
169;236524
170;239565
171;242625
172;245704
173;248802
174;251936
175;255088
176;258258
177;261446
178;264652
179;267885
180;271136
181;274405
182;277692
183;280997
184;284329
185;287679
186;291047
187;294433
188;297837
189;301268
190;304717
191;308184
192;311669
193;315172
194;318702
195;322251
196;325819
197;329406
198;333012
199;336654
200;340314
201;343992
202;347688
203;351402
204;355143
205;358902
206;362679
207;366474
208;370287
209;374127
210;377985
211;381861
212;385755
213;389667
214;393606
215;397563
216;401538
217;405531
218;409542
219;413580
220;417637
221;421713
222;425808
223;429922
224;434072
225;438241
226;442429
227;446636
228;450862
229;455116
230;459389
231;463681
232;467992
233;472322
234;476680
235;481057
236;485453
237;489868
238;494302
239;498764
240;503245
241;507745
242;512264
243;516802
244;521368
245;525954
246;530560
247;535186
248;539832
249;544519
250;549226
251;553953
252;558700
253;563467
254;568263
255;573079
256;577915
257;582771
258;587647
259;592552
260;597477
261;602422
262;607387
263;612372
264;617386
265;622420
266;627474
267;632548
268;637642
269;642765
270;647909
271;653074
272;658260
273;663467
274;668712
275;673977
276;679262
277;684567
278;689892
279;695246
280;700620
281;706014
282;711428
283;716862
284;722325
285;727808
286;733311
287;738834
288;744377
289;749949
290;755541
291;761153
292;766785
293;772437
294;778118
295;783820
296;789543
297;795287
298;801052
299;806855
300;812678
301;818521
302;824384
303;830267
304;836179
305;842111
306;848063
307;854035
308;860027
309;866048
310;872089
311;878150
312;884231
313;890332
314;896462
315;902612
316;908782
317;914972
318;921182
319;927421
320;933681
321;939962
322;946264
323;952587
324;958948
325;965329
326;971730
327;978151
328;984592
329;991062
330;997552
331;1004062
332;1010592
333;1017142
334;1023721
335;1030320
336;1036939
337;1043578
338;1050237
339;1056925
340;1063633
341;1070361
342;1077109
343;1083877
344;1090674
345;1097492
346;1104331
347;1111191
348;1118072
349;1124991
350;1131931
351;1138892
352;1145874
353;1152877
354;1159910
355;1166964
356;1174039
357;1181135
358;1188252
359;1195399
360;1202567
361;1209756
362;1216966
363;1224197
364;1231458
365;1238740
366;1246043
367;1253367
368;1260712
369;1268087
370;1275484
371;1282903
372;1290344
373;1297807
374;1305315
375;1312844
376;1320394
377;1327965
378;1335557
379;1343179
380;1350822
381;1358486
382;1366171
383;1373877
384;1381613
385;1389370
386;1397148
387;1404947
388;1412767
389;1420617
390;1428488
391;1436380
392;1444293
393;1452227
394;1460191
395;1468177
396;1476185
397;1484215
398;1492267
399;1500358
400;1508470
401;1516603
402;1524757
403;1532932
404;1541137
405;1549363
406;1557610
407;1565878
408;1574167
409;1582486
410;1590826
411;1599187
412;1607569
413;1615972
414;1624405
415;1632859
416;1641334
417;1649830
418;1658347
419;1666894
420;1675463
421;1684054
422;1692667
423;1701302
424;1709976
425;1718671
426;1727387
427;1736124
428;1744882
429;1753670
430;1762479
431;1771309
432;1780160
433;1789032
434;1797934
435;1806857
436;1815801
437;1824766
438;1833752
439;1842768
440;1851805
441;1860863
442;1869942
443;1879042
444;1888172
445;1897324
446;1906498
447;1915694
448;1924912
449;1934169
450;1943447
451;1952746
452;1962066
453;1971407
454;1980778
455;1990170
456;1999583
457;2009017
458;2018472
459;2027957
460;2037463
461;2046990
462;2056538
463;2066107
464;2075706
465;2085326
466;2094967
467;2104629
468;2114312
469;2124025
470;2133760
471;2143517
472;2153296
473;2163097
474;2172937
