NumConjunto;NumOperacoes
1;0
2;1
3;6
4;14
5;27
6;44
7;67
8;97
9;133
10;175
11;224
12;281
13;345
14;416
15;495
16;583
17;679
18;785
19;899
20;1022
21;1153
22;1293
23;1442
24;1601
25;1769
26;1948
27;2136
28;2334
29;2541
30;2758
31;2985
32;3223
33;3471
34;3731
35;4001
36;4282
37;4573
38;4877
39;5191
40;5516
41;5851
42;6198
43;6555
44;6923
45;7301
46;7691
47;8092
48;8505
49;8929
50;9366
51;9814
52;10274
53;10745
54;11230
55;11726
56;12234
57;12753
58;13285
59;13828
60;14383
61;14949
62;15528
63;16119
64;16723
65;17339
66;17969
67;18611
68;19266
69;19933
70;20615
71;21309
72;22016
73;22735
74;23468
75;24213
76;24971
77;25741
78;26527
79;27325
80;28136
81;28959
82;29796
83;30645
84;31507
85;32381
86;33270
87;34171
88;35085
89;36011
90;36951
91;37903
92;38868
93;39845
94;40837
95;41842
96;42861
97;43893
98;44940
99;46000
100;47074
101;48161
102;49264
103;50380
104;51510
105;52653
106;53811
107;54982
108;56167
109;57365
110;58580
111;59808
112;61050
113;62305
114;63575
115;64858
116;66155
117;67465
118;68791
119;70130
120;71483
121;72849
122;74230
123;75624
124;77032
125;78453
126;79890
127;81341
128;82807
129;84287
130;85783
131;87293
132;88818
133;90357
134;91913
135;93483
136;95068
137;96667
138;98282
139;99911
140;101555
141;103213
142;104889
143;106579
144;108284
145;110003
146;111738
147;113487
148;115251
149;117029
150;118824
151;120633
152;122457
153;124295
154;126149
155;128017
156;129900
157;131797
158;133713
159;135643
160;137588
161;139547
162;141522
163;143511
164;145515
165;147533
166;149568
167;151617
168;153681
169;155759
170;157853
171;159961
172;162084
173;164221
174;166376
175;168545
176;170729
177;172927
178;175141
179;177369
180;179612
181;181869
182;184143
183;186431
184;188734
185;191051
186;193384
187;195731
188;198093
189;200469
190;202863
191;205272
192;207697
193;210137
194;212594
195;215066
196;217554
197;220057
198;222578
199;225114
200;227666
201;230233
202;232817
203;235416
204;238031
205;240661
206;243310
207;245974
208;248654
209;251349
210;254061
211;256788
212;259531
213;262289
214;265065
215;267856
216;270663
217;273485
218;276324
219;279178
220;282048
221;284933
222;287838
223;290758
224;293694
225;296645
226;299613
227;302596
228;305595
229;308609
230;311641
231;314688
232;317751
233;320829
234;323924
235;327034
236;330160
237;333301
238;336461
239;339636
240;342827
241;346033
242;349256
243;352494
244;355748
245;359017
246;362304
247;365606
248;368924
249;372257
250;375607
251;378972
252;382353
253;385749
254;389164
255;392595
256;396043
257;399507
258;402989
259;406487
260;410002
261;413533
262;417083
263;420649
264;424232
265;427831
266;431448
267;435081
268;438731
269;442397
270;446083
271;449785
272;453504
273;457239
274;460992
275;464761
276;468547
277;472349
278;476170
279;480007
280;483861
281;487731
282;491619
283;495523
284;499444
285;503381
286;507339
287;511313
288;515304
289;519311
290;523336
291;527377
292;531435
293;535509
294;539602
295;543711
296;547837
297;551979
298;556139
299;560315
300;564508
301;568717
302;572946
303;577191
304;581453
305;585731
306;590027
307;594339
308;598668
309;603013
310;607377
311;611757
312;616154
313;620567
314;624998
315;629445
316;633909
317;638389
318;642891
319;647409
320;651944
321;656495
322;661064
323;665649
324;670251
325;674869
326;679506
327;684159
328;688829
329;693515
330;698219
331;702939
332;707676
333;712429
334;717202
335;721991
336;726797
337;731619
